Source,Target,Weight
AXIOM,"Fitch, Douglas",1
AXIOM,"Getaz, Edouard",1
AXIOM,Giants are Small,1
AXIOM,"Noll, Kate",1
AXIOM,"Smith, James",1
AXIOM,"Yew, Jeanette Oi-Suk",1
"Aaronson, Michael","Gottlieb, Gordon",1
"Aaronson, Michael","Herman, Benjamin",1
"Aaronson, Michael","Jacobs, Paul",2
"Aaronson, Michael","Oppens, Ursula",2
"Aaronson, Michael","Rosen, Myor",2
"Abadey, Kush","Birnbaum, Adam",1
"Abbracciamento, John","Anthony, Ryan",1
"Abbracciamento, John","Atkinson, Michael P.",1
"Abbracciamento, John","Baker, Michael",1
"Abbracciamento, John","Balio, Andy",1
"Abbracciamento, John","Balm, Neil",1
"Abbracciamento, John","Bartels, Justin",1
"Abbracciamento, John","Bensdorf, Ethan",1
"Abbracciamento, John","Berlin, Eric M.",1
"Abbracciamento, John","Bliznik, Karin",1
"Abbracciamento, John","Botez, Sarah",1
"Abbracciamento, John","Boulton, Thomas",1
"Abbracciamento, John","Brodsky, Mitch",1
"Abbracciamento, John","Bubolz, Chris",1
"Abbracciamento, John","Burgstaller, Josef",1
"Abbracciamento, John","Castleman, John",1
"Abbracciamento, John","Cupples, Tom",1
"Abbracciamento, John","Day, William (Liam)",1
"Abbracciamento, John","DeCarlo, Kenneth",3
"Abbracciamento, John","DePeters, David",1
"Abbracciamento, John","Dill, Denver",1
"Abbracciamento, John","Dorer, Robert",1
"Abbracciamento, John","Dupuis, Kurt",1
"Abbracciamento, John","Garcia, Andrew",1
"Abbracciamento, John","Gasiorowski, Matt",1
"Abbracciamento, John","Ham, Jason",1
"Abbracciamento, John","Hammond, Kris",1
"Abbracciamento, John","Hosticka, Frank",2
"Abbracciamento, John","Hynes, Jim",1
"Abbracciamento, John","Jaudes, Christian",1
"Abbracciamento, John","Jemo, Nick",1
"Abbracciamento, John","Kadlek, Tony",1
"Abbracciamento, John","Kainuma, Morris",1
"Abbracciamento, John","Krauss, David",1
"Abbracciamento, John","Martin, Christopher",2
"Abbracciamento, John","McCabe, Amy",1
"Abbracciamento, John","McClarty, James",1
"Abbracciamento, John","McKinney, Bryan",1
"Abbracciamento, John","Mergen, Michael",1
"Abbracciamento, John","Murphy, Paul",1
"Abbracciamento, John","Myers, Michael",1
"Abbracciamento, John","Norton, Joshua",1
"Abbracciamento, John","Paul, Kevin",1
"Abbracciamento, John","Piddington, Guy",1
"Abbracciamento, John","Puccini, Dorival",1
"Abbracciamento, John","Resky, Ryan",1
"Abbracciamento, John","Riccomini, Raymond",1
"Abbracciamento, John","Ridenour, Brandon",1
"Abbracciamento, John","Rider, Sue",1
"Abbracciamento, John","Ross, James",1
"Abbracciamento, John","Schlueter, Charlie",1
"Abbracciamento, John","Schuller, Andy",1
"Abbracciamento, John","Siroky, Brad",1
"Abbracciamento, John","Smith, Thomas",1
"Abbracciamento, John","Soper, Lee",1
"Abbracciamento, John","Strong, Jeff",1
"Abbracciamento, John","Tompkins, Joseph",1
"Abbracciamento, John","Venditti, Chris",1
"Abbracciamento, John","Vonderheide, Dave",1
"Abdul-Karim, Muhsinah",Student Musicians from New York City Education and Community Partners,2
"Abdul-Karim, Muhsinah",Voices of Harlem,1
"Abel, Carmen","Cintron, Mary",1
"Abels, Joel","Altay, Derin",1
"Abels, Joel","Archie, Terence",1
"Abels, Joel","Bendul, Kristine",1
"Abels, Joel","Brockman, Jane",1
"Abels, Joel","De Toledo, Maxime",1
"Abels, Joel","Dunn, Ryan Thomas",1
"Abels, Joel","Fraggos, Kathryn Eleni",1
"Abels, Joel","Hernandez, Ivan",1
"Abels, Joel","James, Sydney",1
"Abels, Joel","Jones, Catherine Cheng",1
